date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:45:23	73178/73178	---MCZ	200	added ('OK')	text/html	etag:W/%226208fb9e-11dda%22	https://htmlstream.com/preview/front-v4.3.1/page-careers.html	D:/torr/sadasd/htmlstream.com/preview/front-v4.3.1/page-careers.html	(from https://htmlstream.com/preview/front-v4.3.1/index.html)
12:45:23	69583/69583	---MCZ	200	added ('OK')	text/html	etag:W/%226208fb9e-10fcf%22	https://htmlstream.com/preview/front-v4.3.1/page-careers-overview.html	D:/torr/sadasd/htmlstream.com/preview/front-v4.3.1/page-careers-overview.html	(from https://htmlstream.com/preview/front-v4.3.1/index.html)
12:45:23	61592/61592	---MCZ	200	added ('OK')	text/html	etag:W/%226208fb9e-f098%22	https://htmlstream.com/preview/front-v4.3.1/page-hire-us.html	D:/torr/sadasd/htmlstream.com/preview/front-v4.3.1/page-hire-us.html	(from https://htmlstream.com/preview/front-v4.3.1/index.html)
12:45:23	76187/76187	---MCZ	200	added ('OK')	text/html	etag:W/%226294a9c1-1299b%22	https://htmlstream.com/preview/front-v4.3.1/page-pricing.html	D:/torr/sadasd/htmlstream.com/preview/front-v4.3.1/page-pricing.html	(from https://htmlstream.com/preview/front-v4.3.1/index.html)
12:45:23	68264/68264	---MCZ	200	added ('OK')	text/html	etag:W/%226208fb9e-10aa8%22	https://htmlstream.com/preview/front-v4.3.1/page-contacts-agency.html	D:/torr/sadasd/htmlstream.com/preview/front-v4.3.1/page-contacts-agency.html	(from https://htmlstream.com/preview/front-v4.3.1/index.html)
12:45:24	63680/63680	---MCZ	200	added ('OK')	text/html	etag:W/%226208fb9e-f8c0%22	https://htmlstream.com/preview/front-v4.3.1/page-contacts-startup.html	D:/torr/sadasd/htmlstream.com/preview/front-v4.3.1/page-contacts-startup.html	(from https://htmlstream.com/preview/front-v4.3.1/index.html)
12:45:24	7687/7687	---MCZ	200	added ('OK')	text/html	etag:W/%226208fb9e-1e07%22	https://htmlstream.com/preview/front-v4.3.1/page-login.html	D:/torr/sadasd/htmlstream.com/preview/front-v4.3.1/page-login.html	(from https://htmlstream.com/preview/front-v4.3.1/index.html)
12:45:24	9461/9461	---MCZ	200	added ('OK')	text/html	etag:W/%226208fb9e-24f5%22	https://htmlstream.com/preview/front-v4.3.1/page-signup.html	D:/torr/sadasd/htmlstream.com/preview/front-v4.3.1/page-signup.html	(from https://htmlstream.com/preview/front-v4.3.1/index.html)
12:45:24	6561/6561	---MCZ	200	added ('OK')	text/html	etag:W/%226208fb9e-19a1%22	https://htmlstream.com/preview/front-v4.3.1/page-reset-password.html	D:/torr/sadasd/htmlstream.com/preview/front-v4.3.1/page-reset-password.html	(from https://htmlstream.com/preview/front-v4.3.1/index.html)
12:45:25	60384/60384	---MCZ	200	added ('OK')	text/html	etag:W/%226208fb9e-ebe0%22	https://htmlstream.com/preview/front-v4.3.1/page-login-simple.html	D:/torr/sadasd/htmlstream.com/preview/front-v4.3.1/page-login-simple.html	(from https://htmlstream.com/preview/front-v4.3.1/index.html)
12:45:25	62058/62058	---MCZ	200	added ('OK')	text/html	etag:W/%226208fb9e-f26a%22	https://htmlstream.com/preview/front-v4.3.1/page-signup-simple.html	D:/torr/sadasd/htmlstream.com/preview/front-v4.3.1/page-signup-simple.html	(from https://htmlstream.com/preview/front-v4.3.1/index.html)
12:45:25	59329/59329	---MCZ	200	added ('OK')	text/html	etag:W/%226208fb9e-e7c1%22	https://htmlstream.com/preview/front-v4.3.1/page-reset-password-simple.html	D:/torr/sadasd/htmlstream.com/preview/front-v4.3.1/page-reset-password-simple.html	(from https://htmlstream.com/preview/front-v4.3.1/index.html)
12:45:25	164131/164131	---MCZ	200	added ('OK')	text/html	etag:W/%226294a9c1-28123%22	https://htmlstream.com/preview/front-v4.3.1/account-overview.html	D:/torr/sadasd/htmlstream.com/preview/front-v4.3.1/account-overview.html	(from https://htmlstream.com/preview/front-v4.3.1/index.html)
12:45:26	88034/88034	---MCZ	200	added ('OK')	text/html	etag:W/%226294a9c1-157e2%22	https://htmlstream.com/preview/front-v4.3.1/account-security.html	D:/torr/sadasd/htmlstream.com/preview/front-v4.3.1/account-security.html	(from https://htmlstream.com/preview/front-v4.3.1/index.html)
12:45:26	76490/76490	---MCZ	200	added ('OK')	text/html	etag:W/%226208fb9e-12aca%22	https://htmlstream.com/preview/front-v4.3.1/account-notifications.html	D:/torr/sadasd/htmlstream.com/preview/front-v4.3.1/account-notifications.html	(from https://htmlstream.com/preview/front-v4.3.1/index.html)
12:45:26	75330/75330	---MCZ	200	added ('OK')	text/html	etag:W/%226208fb9e-12642%22	https://htmlstream.com/preview/front-v4.3.1/account-preferences.html	D:/torr/sadasd/htmlstream.com/preview/front-v4.3.1/account-preferences.html	(from https://htmlstream.com/preview/front-v4.3.1/index.html)
12:45:27	80193/80193	---MCZ	200	added ('OK')	text/html	etag:W/%226294a9c1-13941%22	https://htmlstream.com/preview/front-v4.3.1/account-orders.html	D:/torr/sadasd/htmlstream.com/preview/front-v4.3.1/account-orders.html	(from https://htmlstream.com/preview/front-v4.3.1/index.html)
12:45:27	72829/72829	---MCZ	200	added ('OK')	text/html	etag:W/%226294a9c1-11c7d%22	https://htmlstream.com/preview/front-v4.3.1/account-wishlist.html	D:/torr/sadasd/htmlstream.com/preview/front-v4.3.1/account-wishlist.html	(from https://htmlstream.com/preview/front-v4.3.1/index.html)
12:45:27	91545/91545	---MCZ	200	added ('OK')	text/html	etag:W/%226294a9c1-16599%22	https://htmlstream.com/preview/front-v4.3.1/account-payments.html	D:/torr/sadasd/htmlstream.com/preview/front-v4.3.1/account-payments.html	(from https://htmlstream.com/preview/front-v4.3.1/index.html)
12:45:27	151909/151909	---MCZ	200	added ('OK')	text/html	etag:W/%226208fb9e-25165%22	https://htmlstream.com/preview/front-v4.3.1/account-address.html	D:/torr/sadasd/htmlstream.com/preview/front-v4.3.1/account-address.html	(from https://htmlstream.com/preview/front-v4.3.1/index.html)
